Name_EN,Name_CN,LAT,LNG,Address_EN,Address_CN,Province_EN,Province_CN,City_EN,City_CN,Area_EN,Area_CN,Telephone,BuiltYear,BuiltMonth
Bayannur Tianjitai Airport,巴彦淖尔天吉泰机场,40.93266,107.748038,"Airport Road, Tianjitai Town, Wuyuan County, Bayannur City",巴彦淖尔市五原县天吉泰镇机场路,Neimenggu,内蒙古自治区,Bayannur,巴彦淖尔市,Wuyuan,五原县,(0478)8206888,2011,12
Baotou Donghe Airport,包头东河机场,40.568414,110.010476,"Airport Road in Erliban Village, Donghe District, Baotou City, Inner Mongolia Autonomous Region",内蒙古自治区包头市东河区二里半村飞机场路,Neimenggu,内蒙古自治区,Baotai,包头市,Donghe,东河区,(0472)4616100,1934,0
Changde Taohuayuan Airport,常德桃花源机场,28.921516,111.651508,"Taohuayuan Road, Doumu Lake Town, Dingcheng District, Changde City",常德市鼎城区斗姆湖镇桃花源路,Hunan,湖南省,Changde,常德市,Dingcheng,鼎城区,,1958,0
Changchun Longjia International Airport,长春龙嘉国际机场,44.00154,125.697877,"Airport Road, Longjia Town, Jiutai District, Changchun City",长春市九台区龙嘉镇机场路,Jilin,吉林省,Changchun,长春市,Jiutai,九台区,,2005,8
Chaoyang Airport,朝阳机场,41.547256,120.44669,"No. 81, Section 4, Chaoyang Street, Shuangta District, Chaoyang City",朝阳市双塔区朝阳大街四段81号,Liaoning,辽宁省,Chaoyang,朝阳市,Shuangta,双塔区,(0421)2615965,1960,9
Chifeng Yulong Airport,赤峰玉龙机场,42.165307,118.85334,"Niuyingzi Town, Karaqin Banner, Chifeng City, Inner Mongolia Autonomous Region",内蒙古自治区赤峰市喀喇沁旗牛营子镇,Neimenggu,内蒙古自治区,Chifeng,赤峰市,Karaqin Banner,喀喇沁旗,(0476)8333956,2008,3
Changzhi Wangcun Airport,长治王村机场,36.253544,113.138288,Changzhi Wang Village Airport Road on the outskirts of Changzhi City,长治市郊区长治王村机场路,Shanxi,山西省,Changzhi,长治市,Suburbs,郊区,(0355)2176469,1958,0
Chongqing Jiangbei International Airport,重庆江北国际机场,29.723155,106.645226,"Airport Road, Lianglu Town, Yubei District, Chongqing",重庆市渝北区两路镇机场路,Chongqing,重庆市,Chongqing,重庆市,Yubei,渝北区,,1990,1
Changsha Huanghua International Airport,长沙黄花国际机场,28.194022,113.231578,Changsha Changsha County Huanghua Town Airport Avenue,长沙市长沙县黄花镇机场大道,Hunan,湖南省,Changsha,长沙市,Changsha,长沙县,,1989,8
Chengdu Shuangliu International Airport,成都双流国际机场,30.565774,103.958189,"Airport Road, Shuangliu District, Chengdu, Sichuan Province",四川省成都市双流区机场路,Sichuan,四川省,Chengdu,成都市,Shuangliu,双流区,(028)85205555,1956,12
Changzhou Benniu International Airport,常州奔牛国际机场,31.923641,119.787084,"Airport 3rd Road, Xinbei District, Changzhou City",常州市新北区空港三路,Jiangsu,江苏省,Changzhou,常州市,New Taipei,新北区,(0519)83256245,1986,3
Chizhou Jiuhuashan Airport,池州九华山机场,30.744188,117.697439,"Meilong Street, Guichi District, Chizhou City, Anhui Province (the junction of the two sub-district offices of Meilong and Maya, the southern part of Datongwei, West side of Xicha Lake)","安徽省池州市贵池区梅龙街道(梅龙与马衙两个街道办事处交界处大同圩南部,西岔湖的西面)",Anhui,安徽省,Chizhou,池州市,Guichi,贵池区,(0566)4879666,2013,7
Datong Yungang Airport,大同云冈机场,40.068665,113.493162,"Yunzhou District, Datong City, bejiazao town, north side of South Ring East Road",大同市云州区倍加造镇南环东路北侧,Shanxi,山西省,Datong,大同市,Yunzhou,云州区,(0352)5688114,2006,1
Dazhou Heshi Airport,达州河市机场,31.134488,107.440764,"No. 1 Changhang Street, Heshi Town, Dachuan District, Dazhou City",达州市达川区河市镇长航街1号,Sichuan,四川省,Dazhou,达州市,Dachuan,达川区,(0818)5950220,2006,1
Daocheng Aden Airport,稻城亚丁机场,29.318355,100.069855,"Provincial Highway 217, Daocheng County, Ganzi Tibetan Autonomous Prefecture, Sichuan Province",四川省甘孜藏族自治州稻城县217省道,Sichuan,四川省,Ganzi Tibetans Autonomous Prefecture,甘孜藏族自治州,Daocheng,稻城县,,2013,9
Dandong Langtou Airport,丹东浪头机场,40.032239,124.296866,"East side of National Highway 201 in Langtou Town, Zhenxing District, Dandong City",丹东市振兴区浪头镇201国道东侧,Liaoning,辽宁省,Dandong,丹东市,Zhenxing,振兴区,(0415)6176500,1985,4
Diqing Shangri-La Airport,迪庆香格里拉机场,27.797744,99.689786,"Condor Road, Shangri-La City, Diqing Tibetan Autonomous Prefecture",迪庆藏族自治州香格里拉市神鹰路,Yunnan,云南省,Diqing Tibetans Autonomous Prefecture,迪庆藏族自治州,Shangrila,香格里拉市,(0887)8229916,1999,4
Dalian Zhoushuizi International Airport,大连周水子国际机场,38.969369,121.549576,"No. 100, Yingke Road, Ganjingzi District, Dalian City",大连市甘井子区迎客路100号,Liaoning,辽宁省,Dalian,大连市,Ganjingzi,甘井子区,(0411)83886699,1972,10
Dali Airport,大理机场,25.653725,100.329722,"Airport Road, Dali City, Dali Bai Autonomous Prefecture, Yunnan Province",云南省大理白族自治州大理市机场路,Yunnan,云南省,Dali Bai Autonomous Prefecture,大理白族自治州,Dali,大理市,(0872)2428915,1995,11
Dunhuang Airport,敦煌机场,40.169827,94.817106,"Provincial Highway 314, Mogao Town, Dunhuang City, Jiuquan City",酒泉市敦煌市莫高镇314省道,Gansu,甘肃省,Jiuquan,酒泉市,Dunhuang,敦煌市,,1982,7
Dongying Shengli Airport,东营胜利机场,37.512532,118.798699,"Dongba Road, Kenli District, Dongying City",东营市垦利区东八路,Shandong,山东省,Dongying,东营市,Kenli,垦利区,,2001,12
Daqing Saltu Airport,大庆萨尔图机场,46.758422,125.149586,"Daguang Expressway, Saltu District, Daqing City",大庆市萨尔图区大广高速,Heilongjiang,黑龙江省,Daqing,大庆市,Saltu,萨尔图区,"(0459)6628666,(0459)6628999",2009,9
Xiqing General Aviation Airport,西庆通用航空机场,19.556666,109.44698,"Danzhou City, Hainan Province",海南省儋州市,Hainan,海南省,Danzhou,儋州市,,,,,
Dongyang Hengdian General Airport,东阳横店通用机场,29.12924,120.255704,"217 Township Road, Dongyang City, Jinhua City",金华市东阳市217乡道,Zhejiang,浙江省,Jinhua,金华市,Dongyang,东阳市,,,
Delingha Airport,德令哈机场,37.131864,97.276543,200 meters east of the airport road,机场公路东200米,Qinghai,青海省,Haixi Mongolian Tibetans Autonomous Prefecture,海西蒙古族藏族自治州,Delingha,德令哈市,(0977)8200000,2014,6
Enshi Xujiaping Airport,恩施许家坪机场,30.324765,109.496352,"No. 38, Xujiaping Road, Enshi City, Enshi Tujia and Miao Autonomous Prefecture, Hubei Province",湖北省恩施土家族苗族自治州恩施市许家坪路38号,Hubei,湖北省,Enshi Tujia Miao Autonomous Prefecture,恩施土家族苗族自治州,Enshi,恩施市,(0718)8410753,1993,11
Erlianhot Saiwusu Airport,二连浩特赛乌苏机场,43.435337,112.111748,Xilin Gol League Erlianhot City,锡林郭勒盟二连浩特市,Neimenggu,内蒙古自治区,Xilingol Meng,锡林郭勒盟,Erlianhot,二连浩特市,,2009,12
Otok Qianqi General Airport,鄂托克前旗通用机场,38.18134,107.401482,Ordos City Otok front flag,鄂尔多斯市鄂托克前旗,Neimenggu,内蒙古自治区,Ordos,鄂尔多斯市,Otok,鄂托克前旗,,,
Fuzhou Changle International Airport,福州长乐国际机场,25.934598,119.676404,"Pengcheng Road, Changle District, Fuzhou",福州市长乐区鹏程路,Fujian,福建省,Fuzhou,福州市,Changle,长乐区,,1997,6
Fuyang Xiguan Airport,阜阳西关机场,32.884966,115.747322,"Airport Road, Yingzhou District, Fuyang City",阜阳市颍州区机场路,Anhui,安徽省,Fuyang,阜阳市,Yingzhou,颍州区,,1998,12
Foshan Shadi Airport,佛山沙堤机场,23.086694,113.082539,"The intersection of Chanxi Avenue and Airport Road, Shishan Town, Nanhai District, Foshan City",佛山市南海区狮山镇禅西大道与机场路交汇处,Guangdong,广东省,Foshan,佛山市,Nanhai,南海区,,1988,0
Jiamusi Eastern Suburbs Airport,佳木斯东郊机场,46.852877,130.470494,"Chang'an East Road, Jiamusi City, Heilongjiang Province",黑龙江省佳木斯市市辖区长安东路,Heilongjiang,黑龙江省,Jiamusi,佳木斯市,jurisdiction,市辖区,(0454)8330148,1958,0
Fuyun Airport,富蕴机场,46.8088,89.522682,"Fuyun County, Altay Region, Xinjiang Uygur Autonomous Region",新疆维吾尔自治区阿勒泰地区富蕴县,Xinjiang,新疆维吾尔自治区,Altay,阿勒泰地区,Fuyun,富蕴县,,2015,7
Guangzhou Baiyun International Airport,广州白云国际机场,23.395352,113.314282,"No. 888 Airport Avenue East, Huadu District, Guangzhou",广州市花都区机场大道东888号,Guangdong,广东省,Guangzhou,广州市,Huadu,花都区,(020)96158,2004,8
Guanghan Airport,广汉机场,30.952057,104.337837,"Near the west area of the Civil Aviation Flight Academy of China, Section 4 of Nanchang Road",南昌路四段中国民用航空飞行学院西区附近,Sichuan,四川省,Deyang,德阳市,Guanghan,广汉市,,,
Guo Luo Maqin Airport,果洛玛沁机场,34.42447,100.312595,"Maqin County, Guoluo Tibetan Autonomous Prefecture, Qinghai Province",青海省果洛藏族自治州玛沁县,Qinghai,青海省,Guoluo Tibetan Autonomous Prefecture,果洛藏族自治州,Maqin,玛沁县,,2016,7
Golmud Airport,格尔木机场,36.4067,94.794533,"South side of Provincial Highway 303 in Golmud City, Haixi Mongolian-Tibetan Autonomous Prefecture",海西蒙古族藏族自治州格尔木市303省道南侧,Qinghai,青海省,Haixi Mongolian Tibetans Autonomous Prefecture,海西蒙古族藏族自治州,Golmud,格尔木市,,1974,11
Guangyuan Panlong Airport,广元盘龙机场,32.394903,105.706166,"Panlong Town, Lizhou District, Guangyuan City",广元市利州区盘龙镇,Sichuan,四川省,Guangyuan,广元市,Lizhou,利州区,(0839)3470082,2000,9
Guyuan Liupanshan Airport,固原六盘山机场,36.084099,106.22853,"Provincial Highway 101, Yuanzhou District, Guyuan City",固原市原州区101省道,Ningxia,宁夏回族自治区,Guyuan,固原市,Yuanzhou,原州区,(0954)2663114,2010,6
Ganzi Gesar Airport,甘孜格萨尔机场,31.761776,99.560554,G317 north in Derge County,德格县G317北,Sichuan,四川省,Ganzi Tibetans Autonomous Prefecture,甘孜藏族自治州,Derg,德格县,,2019,9
"Lianhuashan Port, Guangzhou",广州市莲花山港,22.974225,113.513901,"No. 1 Gangqian Road, Panyu District, Guangzhou City, Guangdong Province",广东省广州市番禺区港前路1号,Guangdong,广东省,Guangzhou,广州市,Panyu,番禺区,(020)84659906,,
Ganzhou Golden International Airport,赣州黄金国际机场,25.85,114.78,"Emei Village, Fenggang Town, Nankang District, Ganzhou City",赣州市南康区凤岗镇峨眉村,Jiangxi,江西省,Ganzhou,赣州市,Nankang,南康区,,2008,3
Guiyang Longdongbao International Airport,贵阳龙洞堡国际机场,26.549112,106.807162,"Airport Road, Nanming District, Guiyang City",贵阳市南明区机场路,Guizhou,贵州省,Guiyang,贵阳市,Nanming,南明区,,1997,5
Guilin Liangjiang International Airport,桂林两江国际机场,25.223563,110.054552,"Liangjiang Town, Lingui District, Guilin City",桂林市临桂区两江镇,Guangxi,广西壮族自治区,Guilin,桂林市,Lingui,临桂区,(0773)2845359,1996,10
Huangshan Tunxi International Airport,黄山屯溪国际机场,29.736078,118.267392,"No. 8, Longjing Road, Tunxi District, Huangshan City",黄山市屯溪区龙井路8号,Anhui,安徽省,Huangshan,黄山市,Tunxi,屯溪区,(0559)2934999,1959,10
"Deqing Moganshan Airport Management Co., Ltd",德清莫干山机场管理有限公司,30.506002,120.120733,"In the General Aviation Industrial Park (General Aviation Intelligent Manufacturing Town) of Moganshan National High-tech Zone, Deqing County, Huzhou City, Zhejiang Province",浙江省湖州市德清县莫干山国家高新区通用航空产业园(通航智造小镇)内,Zhejiang,浙江省,Huzhou,湖州市,Deqing,德清县,,,
Haikou Meilan International Airport,海口美兰国际机场,19.942054,110.470153,Intersection of Qiongwen Avenue and Provincial Highway 201,琼文大道与201省道交叉口,Hainan,海南省,Haikou,海口市,Meilan,美兰区,(0898)65760114,1999,5
Hechi Jinchengjiang Airport,河池金城江机场,24.804395,107.721293,"Dongliang Village, Jinchengjiang District, Hechi City",河池市金城江区栋良村,Guangxi,广西壮族自治区,Hechi,河池市,Jinchengjiang,金城江区,,2014,8
Handan Airport,邯郸机场,36.531179,114.437921,"No. 1 Airport Road, Handan District, Handan City",邯郸市邯山区机场路1号,Hebei,河北省,Handan,邯郸市,Handan,邯山区,,2007,8
Heihe Yaohui Airport,黑河瑷珲机场,50.182128,127.323574,"Airport Road, Aihui District, Heihe City, Heilongjiang Province",黑龙江省黑河市爱辉区机场路,Heilongjiang,黑龙江省,Heihe,黑河市,Aihui,爱辉区,,1985,11
Lianyungang Baitabu Airport,连云港白塔埠机场,34.576383,118.888042,"No. 1 Airport Road, Baitabu Town, Donghai County, Lianyungang City",连云港市东海县白塔埠镇机场公路1号,Jiangsu,江苏省,Lianyungang,连云港市,Donghai,东海县,(0518)85521666,1985,3
Hefei Xinqiao International Airport,合肥新桥国际机场,31.992553,116.975718,"Gaoliu Town, Shushan District, Hefei City",合肥市蜀山区高刘镇,Anhui,安徽省,Hefei,合肥市,Shushan,蜀山区,(0551)63777888,2013,5
Hangzhou Xiaoshan International Airport,杭州萧山国际机场,30.240638,120.443341,"Airport Avenue, Xiaoshan District, Hangzhou",杭州市萧山区空港大道,Zhejiang,浙江省,Hangzhou,杭州市,Xiaoshan,萧山区,(0571)86662999,2000,12
Huai'an Airport,淮安机场,33.795129,119.137859,"No. 1 Airport Road, Lianshui County, Huai'an City",淮安市涟水县空港路1号,Jiangsu,江苏省,Huai'an,淮安市,Lianshui,涟水县,(0517)81666666,2010,9
Huaihua Zhijiang Airport,怀化芷江机场,27.44615,109.714784,"Yingbin Road, Zhijiang Dong Autonomous County, Huaihua City",怀化市芷江侗族自治县迎宾路,Hunan,湖南省,Huaihua,怀化市,Zhijiang Dong Autonomous Prefecture,芷江侗族自治县,(0745)6838088,2005,12
Hong Kong International Airport,香港国际机场,22.31957,113.955441,"Chek Lap Kok, Lantau Island, Islands District, Hong Kong Special Administrative Region",香港特别行政区离岛区大屿山赤鱲角,HongKong,香港特别行政区,Hongkong,香港特别行政区,Lidao,离岛区,,1998,7
Hulunbuir Dongshan International Airport,呼伦贝尔东山国际机场,49.218399,119.831445,"Airport Street, Hailar District, Hulunbuir City",呼伦贝尔市海拉尔区机场大街,Neimenggu,内蒙古自治区,Hulunbuir,呼伦贝尔市,Hyrule,海拉尔区,,1932,0
Hami Airport,哈密机场,42.848778,93.670763,"National Highway 312, Yizhou District, Hami City",哈密市伊州区312国道,Xinjiang,新疆维吾尔自治区,Hami,哈密市,Illinois,伊州区,(0902)6553000,1932,0
Jiaxing Airport,嘉兴机场,30.710845,120.704126,No. 242; No. 350; No. 651; Tongxiang No. 191/K191 Road; Tongxiang K191 Road,242路;350路;651路;桐乡191路/k191路;桐乡k191路,Zhejiang,浙江省,Jiaxing,嘉兴市,Nanhu,南湖区,,,
Hengyang Nanyue Airport,衡阳南岳机场,26.723881,112.629372,"Zhengxiangnan Road, Hengnan County, Hengyang City, Hunan Province",湖南省衡阳市衡南县蒸湘南路辅路,Hunan,湖南省,Hengyang,衡阳市,Hengnan,衡南县,(0734)8696000,2014,12
Harbin Taiping International Airport,哈尔滨太平国际机场,45.633582,126.259545,Harbin Daoli District Yingbin Road,哈尔滨市道里区迎宾一路,Heilongjiang,黑龙江省,Harbin,哈尔滨市,Daoli,道里区,"(0451)82894230,(0451)82894220",1979,12
Hotan Airport,和田机场,37.044211,79.874446,"No. 925, Yingbin Road, Hotan City, Hotan District",和田地区和田市迎宾路925号,Xinjiang,新疆维吾尔自治区,Hetian,和田地区,Hetian,和田市,(0903)2086114,,
Hualien Airport,花莲机场,24.028108,121.628599,"No. 1, Airport Lane, Xincheng Township, Hualien County, Taiwan Province",台湾省花莲县新城乡机场巷1号,Taiwan,台湾省,Hualian County,花莲县,Xincheng Township,新城乡,886-3-8210768,1962,5
Huizhou Pingtan Airport,惠州平潭机场,23.05278,114.611391,"Pingtan Town, Huiyang District, Huizhou City, Guangdong Province",广东省惠州市惠阳区平潭镇,Guangdong,广东省,Huizhou,惠州市,Huiyang,惠阳区,(0752)5718114,2015,2
Hanzhong City Solid Airport,汉中城固机场,33.130302,107.207303,"250 meters north of Hanzhong Chenggu Airport, Liulin Town, Chenggu County, Hanzhong City, Shaanxi Province",陕西省汉中市城固县柳林镇汉中城固机场北250米,Shaanxi,陕西省,Hanzhong,汉中市,Chenggu,城固县,,2014,8
Raffles City Plaza,来福士广场,30.254767,120.219587,No. 228 Xinye Road,新业路228号,Zhejiang,浙江省,Hangzhou,杭州市,Jianggan,江干区,(0571)81105678,,
Shashi Airport,沙市机场,30.321826,112.285735,"No. 170, Jingsha Avenue, Shacheng District, Jingzhou City",荆州市沙市区荆沙大道170号,Hubei,湖北省,Jingzhou,荆州市,Shashi,沙市区,,,
Jieyang Chaoshan International Airport,揭阳潮汕国际机场,23.552627,116.515619,"Yongguan Expressway, Denggang Town, Rongcheng District, Jieyang City",揭阳市榕城区登岗镇甬莞高速,Guangdong,广东省,Jieyang,揭阳市,Rongcheng,榕城区,(0663)3933333,2011,12
Jinan Yaoqiang International Airport,济南遥墙国际机场,36.857325,117.220528,"Airport Road, Yaoqiang Town, Licheng District, Jinan City",济南市历城区遥墙镇机场路,Shandong,山东省,Jinan,济南市,Licheng,历城区,,1992,7
Jingdezhen Luojia Airport,景德镇罗家机场,29.341811,117.188359,"Airport Road, Fuliang County, Jingdezhen City",景德镇市浮梁县机场路,Jiangxi,江西省,Jingdezhen,景德镇市,Fuliang,浮梁县,(0798)8569656,1996,7
Jagdage Airport,加格达奇机场,50.378552,124.12535,"Airport Road, Jiagdaqi District, Daxing'anling District, Heilongjiang Province",黑龙江省大兴安岭地区加格达奇区机场路,Heilongjiang,黑龙江省,Daxinganling,大兴安岭地区,Gargdage,加格达奇区,,2012,6
Jiayuguan Airport,嘉峪关机场,39.865997,98.347012,"Airport Road, Jiayuguan City",嘉峪关市机场路,Gansu,甘肃省,Jiayuguan,嘉峪关市,,,"(0937)6381202,(0937)6287788",1953,7
Jinggangshan Airport,井冈山机场,26.85937,114.748943,"County Road 804, Luoxi Town, Taihe County, Ji'an City",吉安市泰和县螺溪镇804县道,Jiangxi,江西省,Ji'an,吉安市,Taihe,泰和县,(0796)5268060,2004,5
Jinchang Jinchuan Airport,金昌金川机场,38.548129,102.356998,"Xinhua Avenue, Jinchuan District, Jinchang City",金昌市金川区新华大道,Gansu,甘肃省,Jinchang,金昌市,Jinchuan,金川区,(0935)7125555,2011,8
Jiujiang Lushan Airport,九江庐山机场,29.482334,115.81315,"Airport Road, Mahuiling Town, Chaisang District, Jiujiang City",九江市柴桑区马回岭镇机场路,Jiangxi,江西省,Jiujiang,九江市,Chaisang,柴桑区,(0792)8431811,1996,6
Jingmen Zhanghe Airport,荆门漳河机场,30.987166,112.073648,Hongtu Special Aircraft Manufacturing Company,宏图特种飞行器制造公司内,Hubei,湖北省,Jingmen,荆门市,Dongbao,东宝区,,,
Jiamusi Eastern Suburbs Airport,佳木斯东郊机场,46.852877,130.470494,"Chang'an East Road, Jiamusi City, Heilongjiang Province",黑龙江省佳木斯市市辖区长安东路,Heilongjiang,黑龙江省,Jiamusi,佳木斯市,Shixia,市辖区,(0454)8330148,1958,0
Jining Qufu Airport,济宁曲阜机场,35.29947,116.359705,"Zhifang Town, Jiaxiang County, Jining City",济宁市嘉祥县纸坊镇,Shandong,山东省,Jining,济宁市,Jiaxiang,嘉祥县,(0537)6666666,2008,12
Jinzhou Bay International Airport,锦州湾国际机场,40.938825,121.292676,"No. 1 Airport Road, Linghai City, Jinzhou City",锦州市凌海市机场路1号,Liaoning,辽宁省,Jinzhou,锦州市,Linghai,凌海市,(0416)5188757,1995,4
Jixi Xingkai Lake Airport,鸡西兴凯湖机场,45.302673,131.20458,"Nearly 309 Provincial Highway in Chengjia Village, Hada Town, Jidong County, Jixi City, Heilongjiang Province",黑龙江省鸡西市鸡东县哈达镇程家村近309省道,Heilongjiang,黑龙江省,Jixi,鸡西市,Jidong,鸡东县,(0467)2191114,2009,10
Jiuzhai Huanglong Airport,九寨黄龙机场,32.857176,103.691536,"Chuanzhusi Town, Songpan County, Aba Tibetan and Qiang Autonomous Prefecture",阿坝藏族羌族自治州松潘县川主寺镇,Sichuan,四川省,Aba Tibetans and Qiangs Autonomous Prefecture,阿坝藏族羌族自治州,Songpan,松潘县,,2003,9
Jiande Qiandao Lake General Airport,建德千岛湖通用机场,29.362554,119.191263,"National Highway 320, Shouchang Town, Jiande City, Hangzhou City",杭州市建德市寿昌镇320国道,Zhejiang,浙江省,Hangzhou,杭州市,Jiande,建德市,,,
Kuqa Kucha Airport,库车龟兹机场,41.686288,82.881508,"Yingbin Road, Kuqa County, Aksu Region",阿克苏地区库车县迎宾路,Xinjiang,新疆维吾尔自治区,Aksu,阿克苏地区,Kuche,库车市,(0997)7772999,2011,9
Ganzi Kangding Airport,甘孜康定机场,30.146116,101.747675,Ganzi Tibetan Autonomous Prefecture Kangding City Zheduo Mountain Simucuo,甘孜藏族自治州康定市折多山斯木措,Sichuan,四川省,Ganzi Tibetans Autonomous Prefecture,甘孜藏族自治州,Kangding,康定市,(0836)2830266,2008,10
Kaohsiung International Airport,高雄国际机场,22.578242,120.355264,"812 Zhongshan 4th Road, Xiaogang District, Kaohsiung City, Taiwan Province",812台湾省高雄市小港區中山四路,Taiwan,台湾省,Kaohsiung,高雄市,Xiaogang,小港区,886-7-8057630,1965,7
